label,sentence
Account balance,Account summary
Account balance,I want to see Account summary
Account balance,I want to find Account summary
Account balance,what’s my Account summary
Account balance,what is my Account summary
Account balance,get Account summary
Account balance,please get Account summary
Account balance,tell me my Account summary
Account balance,show me Account summary
Account balance,display Account summary
Account balance,what’s my Account summary
Account balance,please get Account summary
Account balance,get Account summary
Account balance,balance for all accounts
Account balance,I want to see balance for all accounts
Account balance,I want to find balance for all accounts
Account balance,what’s my balance for all accounts
Account balance,what is my balance for all accounts
Account balance,get balance for all accounts
Account balance,please get balance for all accounts
Account balance,tell me my balance for all accounts
Account balance,show me balance for all accounts
Account balance,display balance for all accounts
Account balance,what’s my balance for all accounts
Account balance,please get balance for all accounts
Account balance,get balance for all accounts
Account balance,acc sum
Account balance,I want to see acc sum
Account balance,I want to find acc sum
Account balance,what’s my acc sum
Account balance,what is my acc sum
Account balance,get acc sum
Account balance,please get acc sum
Account balance,tell me my acc sum
Account balance,show me acc sum
Account balance,display acc sum
Account balance,what’s my acc sum
Account balance,please get acc sum
Account balance,get acc sum
Account balance,acc summary
Account balance,I want to see acc summary
Account balance,I want to find acc summary
Account balance,what’s my acc summary
Account balance,what is my acc summary
Account balance,get acc summary
Account balance,please get acc summary
Account balance,tell me my acc summary
Account balance,show me acc summary
Account balance,display acc summary
Account balance,what’s my acc summary
Account balance,please get acc summary
Account balance,get acc summary
Account balance,account sum
Account balance,I want to see account sum
Account balance,I want to find account sum
Account balance,what’s my account sum
Account balance,what is my account sum
Account balance,get account sum
Account balance,please get account sum
Account balance,tell me my account sum
Account balance,show me account sum
Account balance,display account sum
Account balance,what’s my account sum
Account balance,please get account sum
Account balance,get account sum
Account balance,short statement
Account balance,I want to see short statement
Account balance,I want to find short statement
Account balance,what’s my short statement
Account balance,what is my short statement
Account balance,get short statement
Account balance,please get short statement
Account balance,show me short statement
Account balance,display short statement
Account balance,what’s my short statement
Account balance,please get short statement
Account balance,get short statement
Account balance,summary of accounts
Account balance,I want to see summary of accounts
Account balance,I want to find summary of accounts
Account balance,what’s my summary of accounts
Account balance,what is my summary of accounts
Account balance,get summary of accounts
Account balance,please get summary of accounts
Account balance,tell me my summary of accounts
Account balance,show me summary of accounts
Account balance,display summary of accounts
Account balance,what’s my summary of accounts
Account balance,please get summary of accounts
Account balance,get summary of accounts
Account balance,summary of balances
Account balance,I want to see summary of balances
Account balance,I want to find summary of balances
Account balance,what’s my summary of balances
Account balance,what is my summary of balances
Account balance,get summary of balances
Account balance,please get summary of balances
Account balance,tell me my summary of balances
Account balance,show me summary of balances
Account balance,display summary of balances
Account balance,what’s my summary of balances
Account balance,please get summary of balances
Account balance,get summary of balances
Account balance,account overview
Account balance,I want to see account overview
Account balance,I want to find account overview
